Date/time,Anemometer 1;wind_speed;Avg,Anemometer 1;wind_speed;Max,Anemometer 1;wind_speed;Min,Anemometer 1;wind_speed;StdDev,Anemometer 1;wind_speed;Count,Anemometer 2;wind_speed;Avg,Anemometer 2;wind_speed;Max,Anemometer 2;wind_speed;Min,Anemometer 2;wind_speed;StdDev,Anemometer 2;wind_speed;Count,Ultrasonic;wind_speed;Avg,Ultrasonic;wind_speed;Max,Ultrasonic;wind_speed;Min,Ultrasonic;wind_speed;StdDev,Ultrasonic;wind_speed;Count,Anemometer 3;wind_speed;Avg,Anemometer 3;wind_speed;Max,Anemometer 3;wind_speed;Min,Anemometer 3;wind_speed;StdDev,Anemometer 3;wind_speed;Count,Anemometer 4;wind_speed;Avg,Anemometer 4;wind_speed;Max,Anemometer 4;wind_speed;Min,Anemometer 4;wind_speed;StdDev,Anemometer 4;wind_speed;Count,Ultrasonic;wind_direction;Avg,Ultrasonic;wind_direction;StdDev,Ultrasonic;wind_direction;Count,Wind Vane 1;wind_direction;Avg,Wind Vane 1;wind_direction;StdDev,Wind Vane 1;wind_direction;Count,Wind Vane 2;wind_direction;Avg,Wind Vane 2;wind_direction;StdDev,Wind Vane 2;wind_direction;Count,Hygro/Thermo;humidity;Avg,Hygro/Thermo;humidity;Max,Hygro/Thermo;humidity;Min,Hygro/Thermo;humidity;StdDev,Hygro/Thermo;humidity;Count,Hygro/Thermo;temperature;Avg,Hygro/Thermo;temperature;Max,Hygro/Thermo;temperature;Min,Hygro/Thermo;temperature;StdDev,Hygro/Thermo;temperature;Count,Ultrasonic;temperature;Avg,Ultrasonic;temperature;Max,Ultrasonic;temperature;Min,Ultrasonic;temperature;StdDev,Ultrasonic;temperature;Count,Thermo;temperature;Avg,Thermo;temperature;Max,Thermo;temperature;Min,Thermo;temperature;StdDev,Thermo;temperature;Count,Barometer;air_pressure;Avg,Barometer;air_pressure;Max,Barometer;air_pressure;Min,Barometer;air_pressure;StdDev,Barometer;air_pressure;Count,Precipitation;precipitation_status;Avg,Precipitation;precipitation_status;Max,Precipitation;precipitation_status;Min,Precipitation;precipitation_status;StdDev,Precipitation;precipitation_status;Count,Ultrasonic;wind_speed_vert;Avg,Ultrasonic;wind_speed_vert;Max,Ultrasonic;wind_speed_vert;Min,Ultrasonic;wind_speed_vert;StdDev,Ultrasonic;wind_speed_vert;Count,A1;Avg,A1;Min,A1;Max,A1;StdDev,A1;Count,A2;Avg,A2;Min,A2;Max,A2;StdDev,A2;Count,A3;Avg,A3;Min,A3;Max,A3;StdDev,A3;Count,A4;Avg,A4;Max,A4;Min,A4;StdDev,A5;Avg,A5;Max,A5;Min,A5;StdDev,A6;Avg,A6;Max,A6;Min,A6;StdDev,A7;Avg,A7;Max,A7;Min,A7;StdDev,A8;Avg,A8;Max,A8;Min,A8;StdDev,C1;Avg,C1;Min,C1;Max,C1;StdDev,C1;Count,C2;Avg,C2;Min,C2;Max,C2;StdDev,C2;Count,C3;Avg,C3;Min,C3;Max,C3;StdDev,C3;Count,C4;Avg,C4;Min,C4;Max,C4;StdDev,C4;Count,D4;Avg,D4;Max,D4;Min,D4;StdDev,M1_1;Count,M1_2;Count,M1_3;Count,M1_4;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2016-09-07 00:00:00,4.1244,4.4065,3.4889,0.1886,600,4.3406,4.5560,4.1436,0.0818,600,3.620217,4.240000,2.920000,0.239511,600,4.2716,4.5540,4.0488,0.1175,600,4.8308,5.0121,4.5530,0.0878,600,8.584127,3.139642,600,188.5175,1.1813,600,166.8505,0.5294,600,71.0715,71.3523,70.7419,0.1623,600,16.87242,16.88559,16.86117,0.00468,600,18.814300,18.960000,18.660000,0.051002,600,12.48917,12.60384,12.41768,0.06043,600,999.5397,999.5544,999.5178,0.0103,600,0.0000,0,0,0.0000,600,0.099500,0.690000,-0.460000,0.186623,600,3.3257,3.3253,3.3259,0.0002,600,0.46872,0.46861,0.46886,0.00005,600,0.7107,0.7074,0.7135,0.0016,600,0.42489,0.42604,0.42418,0.00060,4.1598,4.1603,4.1588,0.0004,2.1783,2.1955,2.1403,0.0137,4.1671,4.1679,4.1655,0.0005,1.9313,1.9465,1.9178,0.0062,84.8517,71.0000,91.0000,4.1099,600,89.3000,85.0000,94.0000,1.7847,600,87.8517,83.0000,94.0000,2.5588,600,100.0500,94.0000,104.0000,1.9123,600,0.0000,0,0,0.0000,600,600,600,600,12.58,12.66,12.51,12.9733,17,11,11.0,119779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 00:10:00,3.9621,4.2230,3.5348,0.1347,600,4.0514,4.2810,3.7311,0.0965,600,3.448100,4.170000,2.740000,0.235676,600,4.1008,4.3244,3.9569,0.0584,600,4.6182,4.8744,4.3235,0.0944,600,9.040603,3.095085,600,189.3188,0.7323,600,165.9208,1.1941,600,70.4811,71.5354,69.8264,0.3563,600,16.85144,16.87338,16.81539,0.01314,600,18.753067,18.910000,18.600000,0.057141,600,12.48608,12.57027,12.43294,0.03422,600,999.5421,999.5727,999.3530,0.0192,600,0.0000,0,0,0.0000,600,0.132967,0.610000,-0.390000,0.169505,600,3.3257,3.3226,3.3262,0.0003,600,0.46851,0.46815,0.46873,0.00013,600,0.7048,0.6983,0.7154,0.0036,600,0.42486,0.42570,0.42433,0.00034,4.1597,4.1603,4.1588,0.0004,2.1875,2.2089,2.1619,0.0085,4.1671,4.1679,4.1664,0.0005,1.9206,1.9443,1.8946,0.0139,81.3150,72.0000,87.0000,2.9366,600,82.9900,76.0000,88.0000,2.1057,600,84.1333,81.0000,89.0000,1.2721,600,95.4183,89.0000,101.0000,2.0560,600,0.0000,0,0,0.0000,600,600,600,600,12.57,12.66,12.51,12.9200,17,11,11.0,119877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 00:20:00,3.9354,4.2230,3.5806,0.1121,600,3.9854,4.1894,3.7311,0.0709,600,3.400883,3.990000,2.760000,0.216528,600,4.2265,4.5540,3.8651,0.1424,600,4.5288,4.7367,4.3235,0.0817,600,10.273248,3.062675,600,190.5780,1.4655,600,167.6199,1.3956,600,71.3976,72.0237,70.7724,0.2465,600,16.79470,16.82760,16.76656,0.01520,600,18.726217,18.890000,18.570000,0.055099,600,12.60126,12.66488,12.55196,0.01860,600,999.5432,999.5727,999.3713,0.0234,600,0.0000,0,0,0.0000,600,0.113817,0.690000,-0.440000,0.173529,600,3.3257,3.3229,3.3262,0.0004,600,0.46795,0.46767,0.46828,0.00015,600,0.7140,0.7077,0.7202,0.0025,600,0.42601,0.42665,0.42552,0.00019,4.1597,4.1603,4.1585,0.0004,2.2021,2.2514,2.1616,0.0170,4.1670,4.1676,4.1652,0.0005,1.9402,1.9868,1.9208,0.0162,80.7317,73.0000,87.0000,2.4440,600,81.5483,76.0000,86.0000,1.5465,600,86.8683,79.0000,94.0000,3.1006,600,93.4717,89.0000,98.0000,1.7789,600,0.0000,0,0,0.0000,600,600,600,600,12.57,12.66,12.51,12.9467,17,11,11.0,119974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 00:30:00,4.3597,4.7735,4.0394,0.1727,600,4.3357,4.7393,4.0061,0.1726,600,3.696683,4.670000,2.730000,0.409613,600,4.5978,4.9674,4.2325,0.1968,600,4.9202,5.3794,4.4612,0.2579,600,17.472249,3.936547,600,196.3322,1.7394,600,173.1581,1.3480,600,69.4905,71.8406,67.1712,1.3483,600,16.81794,16.86117,16.77572,0.01823,600,18.791767,18.980000,18.640000,0.052135,600,12.73432,12.75948,12.65267,0.02240,600,999.4213,999.5544,999.3347,0.0817,600,0.0000,0,0,0.0000,600,0.168367,0.670000,-0.320000,0.176566,600,3.3237,3.3222,3.3259,0.0014,600,0.46818,0.46776,0.46861,0.00018,600,0.6949,0.6717,0.7184,0.0135,600,0.42734,0.42759,0.42653,0.00022,4.1597,4.1603,4.1588,0.0004,2.2686,2.3011,2.2269,0.0201,4.1669,4.1679,4.1661,0.0005,2.0043,2.0399,1.9739,0.0156,89.9800,83.0000,99.0000,3.7652,600,89.1917,82.0000,98.0000,3.7654,600,94.9533,87.0000,103.0000,4.2851,600,101.9983,92.0000,112.0000,5.6170,600,0.0000,0,0,0.0000,600,600,600,600,12.57,12.66,12.51,13.0067,17,11,11.0,120071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 00:40:00,4.9328,5.2782,4.4982,0.1788,600,4.9039,5.2435,4.5102,0.1765,600,4.716267,5.310000,3.540000,0.316319,600,5.1674,5.5645,4.8296,0.1520,600,5.2618,5.6549,4.9203,0.1788,600,21.373928,2.183674,600,200.2135,0.9745,600,181.0451,2.7232,600,68.1805,69.7043,66.6829,0.8380,600,16.88178,16.90390,16.85202,0.00923,600,18.826767,18.980000,18.710000,0.046186,600,12.65764,12.72897,12.57332,0.04054,600,999.3566,999.3896,999.1516,0.0431,600,0.0000,0,0,0.0000,600,0.095983,0.440000,-0.620000,0.137536,600,3.3226,3.3192,3.3232,0.0007,600,0.46882,0.46852,0.46904,0.00009,600,0.6818,0.6668,0.6970,0.0084,600,0.42658,0.42729,0.42573,0.00041,4.1598,4.1603,4.1588,0.0004,2.3134,2.3405,2.2932,0.0112,4.1669,4.1676,4.1652,0.0005,2.0956,2.1558,2.0289,0.0316,102.4717,93.0000,110.0000,3.8972,600,101.5900,93.0000,109.0000,3.8518,600,107.3550,100.0000,116.0000,3.3102,600,109.4383,102.0000,118.0000,3.8955,600,0.0000,0,0,0.0000,600,600,600,600,12.57,12.66,12.51,13.0100,17,11,11.0,120170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 00:50:00,5.2625,5.5076,4.8194,0.0953,600,5.2229,5.4726,4.7393,0.0953,600,5.148367,5.580000,4.590000,0.115308,600,5.3465,5.6563,5.1511,0.0901,600,5.5360,5.7926,5.2417,0.0871,600,23.968273,1.538343,600,203.7515,1.1504,600,187.5789,1.2861,600,68.7421,71.2302,66.9881,1.1485,600,16.88071,16.92221,16.79708,0.03472,600,18.759000,19.000000,18.470000,0.082967,600,12.33390,12.57942,12.01788,0.16264,600,999.2036,999.3713,999.1516,0.0702,600,0.0000,0,0,0.0000,600,0.141283,0.510000,-0.410000,0.095879,600,3.3201,3.3192,3.3229,0.0012,600,0.46881,0.46797,0.46922,0.00035,600,0.6874,0.6699,0.7123,0.0115,600,0.42334,0.42579,0.42018,0.00163,4.1598,4.1603,4.1585,0.0004,2.3543,2.4323,2.3194,0.0133,4.1668,4.1676,4.1652,0.0005,2.1711,2.2062,2.1375,0.0149,109.6583,100.0000,115.0000,2.0774,600,108.5517,98.0000,114.0000,2.0787,600,111.2550,107.0000,118.0000,1.9612,600,115.4100,109.0000,121.0000,1.8968,600,0.0000,0,0,0.0000,600,600,600,600,12.57,12.66,12.51,13.0867,15,11,11.0,120268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 01:00:00,5.1426,5.5994,4.2688,0.2893,600,5.1045,5.5185,4.2810,0.2827,600,5.042433,5.530000,4.100000,0.267451,600,5.3948,5.6563,5.0133,0.1152,600,5.0131,5.5171,4.5989,0.1869,600,25.854269,2.984669,600,205.5993,3.0269,600,194.3523,2.1726,600,71.2113,71.9626,70.4062,0.3264,600,16.72263,16.80929,16.67806,0.03861,600,18.659217,18.830000,18.470000,0.067561,600,11.54306,12.01788,11.18168,0.25157,600,999.2166,999.3713,999.1516,0.0776,600,0.0000,0,0,0.0000,600,0.107250,0.620000,-0.280000,0.110564,600,3.3203,3.3192,3.3229,0.0013,600,0.46723,0.46678,0.46809,0.00039,600,0.7121,0.7041,0.7196,0.0033,600,0.41543,0.42018,0.41182,0.00252,4.1595,4.1603,4.1572,0.0005,2.3755,2.4821,2.3035,0.0349,4.1664,4.1676,4.1643,0.0007,2.2493,2.3826,2.1717,0.0251,107.0450,88.0000,117.0000,6.3047,600,105.9683,88.0000,115.0000,6.1680,600,112.3050,104.0000,118.0000,2.5078,600,104.0217,95.0000,115.0000,4.0709,600,0.0000,0,0,0.0000,600,600,600,600,12.56,12.61,12.51,12.9633,17,11,11.0,120365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 01:10:00,4.7338,5.0947,4.3147,0.1459,600,4.6968,5.0602,4.3269,0.1420,600,4.726233,5.320000,4.300000,0.158304,600,5.3473,5.7941,4.7837,0.1362,600,4.5742,5.4253,3.5889,0.2447,600,30.140027,1.821044,600,209.9962,1.8749,600,201.1509,4.7601,600,71.0571,71.3523,70.7724,0.1366,600,16.66508,16.69942,16.61702,0.02248,600,18.608417,18.790000,18.400000,0.071319,600,10.96169,11.18778,10.85208,0.09553,600,999.1997,999.3713,999.1516,0.0666,600,0.0000,0,0,0.0000,600,0.122133,0.510000,-0.420000,0.130135,600,3.3200,3.3192,3.3229,0.0011,600,0.46665,0.46617,0.46699,0.00022,600,0.7106,0.7077,0.7135,0.0014,600,0.40962,0.41188,0.40852,0.00096,4.1589,4.1597,4.1566,0.0004,2.4260,2.4976,2.3713,0.0216,4.1657,4.1670,4.1643,0.0005,2.3276,2.5111,2.1897,0.0551,98.1350,89.0000,106.0000,3.1802,600,97.0717,89.0000,105.0000,3.0988,600,111.2717,99.0000,121.0000,2.9663,600,94.4600,73.0000,113.0000,5.3306,600,0.0000,0,0,0.0000,600,600,600,600,12.56,12.61,12.51,13.0300,15,11,11.0,120463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-07 01:20:00,4.8789,5.5994,4.4065,0.2453,600,4.8409,5.4268,4.2810,0.2391,600,4.840267,5.620000,4.350000,0.222910,600,5.4276,5.7482,4.9674,0.1239,600,4.3836,5.1040,3.8644,0.2163,600,29.646704,2.123070,600,209.3737,2.3021,600,208.3632,3.9900,600,71.6980,72.6341,70.9861,0.5470,600,16.53476,16.62923,16.38813,0.06760,600,18.408517,18.670000,18.030000,0.133389,600,10.85071,10.89175,10.83071,0.01012,600,999.1772,999.3896,998.9868,0.0354,600,0.0000,0,0,0.0000,600,0.154783,0.540000,-0.250000,0.116529,600,3.3196,3.3164,3.3232,0.0006,600,0.46535,0.46388,0.46629,0.00068,600,0.7170,0.7099,0.7263,0.0055,600,0.40851,0.40892,0.40831,0.00010,4.1584,4.1594,4.1563,0.0005,2.4185,2.4897,2.3341,0.0267,4.1649,4.1661,4.1630,0.0006,2.4106,2.5404,2.2898,0.0461,101.2967,91.0000,117.0000,5.3472,600,100.2167,88.0000,113.0000,5.2174,600,113.0200,103.0000,120.0000,2.6985,600,90.3100,79.0000,106.0000,4.7114,600,0.0000,0,0,0.0000,600,600,600,600,12.56,12.61,12.51,13.0200,17,11,11.0,120560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
